term_rank,n,p,i,n_chars,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,term_rank2,zipf_k,zipf_k2,df,idf,tfidf_mean,tfidf_sum,tfidf_median,tfidf_max,dfidf,dp,dh
1,8191,0.058305572164801686,4.100222423838138,3,DT,1,the,the,the,1,8191,0.058305572164801686,1717,0.1835840846348388,0.01073618835102086,20.935567284490677,0.01001367734371848,0.0917920423174194,315.2138733180182,0.8805128205128205,0.16164814016308626
2,4179,0.029747159818911764,5.071104259531455,3,CC,1,and,and,and,2,8358,0.05949431963782353,1559,0.3228531959391883,0.00977691291099284,19.064980176436038,0.008385797297121775,0.3228531959391883,503.3281324691946,0.7994871794871795,0.25811699100984337
3,4003,0.02849434811081689,5.133180402466326,2,TO,1,to,to,to,3,12009,0.08548304433245067,1472,0.4056964525799601,0.010689063654670226,20.843674126606942,0.010142411314499004,0.1352321508599867,597.1851781977012,0.7548717948717949,0.30624880933215454
4,3524,0.025084707155263234,5.317048093933451,1,DT,1,a,a,a,4,14096,0.10033882862105294,1450,0.4274212237346762,0.01063554839630021,20.73931937278541,0.008904608827805754,0.14247374124489207,619.7607744152805,0.7435897435897436,0.3178260381616823
5,3090,0.02199538737507474,5.506655180062127,2,IN,1,of,of,of,5,15450,0.1099769368753737,1368,0.5114058937510753,0.010676792133294973,20.8197446599252,0.008667896504255514,0.1704686312503584,699.6032626514709,0.7015384615384616,0.3587709039238311
6,2663,0.018955895333276386,5.721209589643251,2,IN,1,in,in,in,6,15978,0.11373537199965832,1303,0.5816370400688387,0.010507386749260095,20.489404161057188,0.008429522319838241,0.14540926001720966,757.8730632096967,0.6682051282051282,0.38865285292804946
7,2603,0.0185288004327895,5.754086706449752,3,VBD,1,wa,was,was,7,18221,0.1297016030295265,1294,0.5916365066444654,0.010293496219431663,20.072317627891742,0.008217173703395354,0.14790912666111636,765.5776395979383,0.6635897435897435,0.39260391774253256
8,2237,0.01592352153981948,5.9726967617947455,3,VBD,1,had,had,had,8,17896,0.12738817231855584,1170,0.7369655941662062,0.010338683232880104,20.160432304116203,0.00837460902461598,0.07369655941662062,862.2497451744613,0.6,0.44217935649972373
9,2156,0.015346943424162183,6.025904840101359,2,PRP,1,he,he,he,9,19404,0.13812249081745964,1035,0.9138433562502855,0.012880537203278851,25.11704754639376,0.008232823029281851,0.1827686712500571,945.8278737190454,0.5307692307692308,0.4850399352405361
10,1440,0.010250277611685317,6.60819320652419,3,PRP$,1,hi,his,his,10,14400,0.10250277611685317,874,1.1577689391363746,0.010892560692652301,21.240493350671986,0.0,0.19296148985606243,1011.8900528051914,0.4482051282051282,0.5189179757975341
11,1358,0.00966658124768657,6.692778538609132,3,IN,1,for,for,for,11,14938,0.10633239372455226,891,1.129976787115051,0.010414149465747587,20.307591458207796,0.0,0.28249419677876275,1006.8093173195105,0.45692307692307693,0.5163124704202617
12,1239,0.008819509695054241,6.825085830713263,4,IN,1,with,with,with,12,14868,0.1058341163406509,864,1.1743709064735046,0.009271919718634317,18.08024345133692,0.0,0.16776727235335778,1014.656463193108,0.4430769230769231,0.5203366477913374
13,1212,0.008627316989835142,6.856872319380913,2,IN,1,at,at,at,13,15756,0.11215512086785685,814,1.260373424370726,0.009932836808451733,19.36903177648088,0.0,0.18005334633867515,1025.943967437771,0.41743589743589743,0.5261251115065493
14,1165,0.008292759317787078,6.913932063312222,5,NNP,0,busbi,busbi,busby,14,16310,0.1160986304490191,807,1.2728335453591928,0.0111826668573822,21.80620037189529,0.0,0.42427784845306427,1027.1766711048685,0.41384615384615386,0.526757267233266
15,1123,0.007993792887446257,6.966904090453263,2,PRP,1,it,it,it,15,16845,0.11990689331169385,771,1.3386713587219388,0.010650490656235955,20.768456779660113,0.0,0.3346678396804847,1032.1156175746148,0.3953846153846154,0.5292900602946743
16,1083,0.007709062953788332,7.019228775245537,4,IN,1,that,that,that,16,17328,0.12334500726061332,764,1.3518295806012244,0.010348052898638717,20.1787031523455,0.0,0.3379573951503061,1032.7977995793353,0.39179487179487177,0.529639897220172
17,1033,0.007353150536715925,7.087421763988805,2,IN,1,on,on,on,17,17561,0.12500355912417074,745,1.388161793287449,0.00965579357188439,18.82879746517456,0.0,0.2313602988812415,1034.1805359991495,0.382051282051282,0.5303489928200766
18,1009,0.00718231257652117,7.121335843747507,2,IN,1,as,as,as,18,18162,0.12928162637738105,675,1.5305147166987798,0.010143264995517333,19.779366741258798,0.0,0.38262867917469495,1033.0974337716764,0.34615384615384615,0.5297935557803468
19,840,0.005979328606816435,7.385800785187742,4,VBD,1,were,were,wer,19,15960,0.11360724352951226,648,1.5894084057523483,0.009038266384137825,17.62461944906876,0.0,0.19867605071904354,1029.9366469275217,0.3323076923076923,0.5281726394500111
